"","Shape_Area","OBJECTID","geology","geolarge","geolocal","curve10plan","curve10prof","curve30plan","curve30prof","elevation","aspect","slope","twi","dist_river","dist_stream","stream_min","x","y","streamcat","radians","northness","eastness","logarea"
"125087",225.164468576,125088,7,7,6,-0.0289503908157349,0.00433598548173904,-0.00424066662788391,-0.00151884108781815,3078.27587890625,57.4948806762695,42.730884552002,5.06841135025024,35.1258659362793,4.33791828155518,0,867900.60161589,8548493.48582691,1,1.00347497084217,0.537374962430342,0.843343435234418,2.3524998590086
"125131",231.120658426,125132,1,7,6,-0.0465329599380493,-0.00783553004264832,-0.0084634929895401,-0.00229072570800781,2615.966796875,161.026321411133,47.311092376709,6.02277040481567,71.7264404296875,4.79696702957153,0,873802.56856855,8548504.39195881,1,2.81043949099891,-0.945668040297126,0.325133753339441,2.36383876607381
"125233",366.214854909,125234,2,6,6,0.00418902099132538,-0.00817487359046936,0.000632916390895844,0.00020887553691864,2954.4296875,15.0167055130005,34.3248672485352,5.71024322509766,158.293991088867,6.50890874862671,0,868421.3274292,8548515.31778823,1,0.262090954004243,0.965850322346263,0.25910066542489,2.56373595677114
"125272",203.120834286,125273,1,6,6,-0.00792033791542053,0.00555381894111633,-0.0070209127664566,0.00357614606618881,2710.29833984375,230.288421630859,40.5456199645996,5.21410989761353,215.215576171875,2.39170503616333,0,873929.43594224,8548520.7997407,1,4.01929118667942,-0.638923285244585,-0.769270456713545,2.30775447166373
"125324",403.293605586,125325,2,6,7,-0.00532631099224091,0.0117758667469025,0.00647939205169678,0.00410161346197128,2954.02368164062,131.133209228516,40.4485206604004,6.20258617401123,144.233871459961,4.71354055404663,0,868345.33148606,8548522.46003353,1,2.28870625974422,-0.657811908511534,0.753182244228058,2.60562133611441
"125325",218.197023462,125326,2,6,6,-0.0129018473625183,-4.88491402938962e-05,0.00135411560535431,-0.00225215151906013,2939.859375,19.3676319122314,41.2873458862305,5.62435245513916,240.813247680664,1.71995949745178,0,868589.50952187,8548513.84380499,1,0.338028945182763,0.943410155114918,0.331628224411081,2.33884882185798
"125380",178.180064414,125381,2,6,6,-0.00731298804283142,0.00206575274467468,-0.00977823257446289,0.000586422458291054,2847.2685546875,333.329925537109,41.1983337402344,5.45974969863892,238.990447998047,6.31716775894165,0,868985.35712628,8548539.24816705,1,5.81770469605008,0.893605945395313,-0.448852330231389,2.25085911160143
"125387",1878.61274898,125388,5,6,6,-0.0114123320579529,0.0107915866374969,-0.00785189986228943,0.00441009759902954,2672.25927734375,113.331604003906,32.5729217529297,5.83874416351318,108.88102722168,8.75015735626221,0,870025.22368188,8548513.23020321,1,1.97800963643455,-0.39605205180812,0.918228061136545,3.27383726529795
"125397",1016.44690008,125398,1,6,7,-0.0353115701675415,0.00760164856910706,-0.00907542943954468,0.00584526062011719,2271.55688476562,212.975631713867,42.6762847900391,5.88726091384888,153.16845703125,3.32755327224731,0,873079.88856202,8548513.27073612,1,3.71712599992183,-0.83890213078595,-0.544282293449634,3.00708469570933
"125414",268.188470249,125415,2,5,6,-0.00716532528400421,-0.0049640479683876,-0.00463256180286407,-0.000242523439228535,2841.32055664062,19.9928073883057,38.3514404296875,4.87927484512329,384.612426757812,4.07074785232544,0,869367.45919852,8548541.28912468,1,0.348940315642983,0.939735548796699,0.34190217654728,2.42844010306491
"125451",158.148379039,125452,2,3,9,-0.0125381624698639,0.0106931614875793,-0.00089832715690136,0.00189466834068298,2788.45483398438,65.564208984375,8.93742942810059,7.76014614105225,358.600433349609,4.28161478042603,0,869818.19112709,8548548.06806704,1,1.14431131824299,0.413673226920531,0.910425428757982,2.19906474492057
"125462",1169.38594463,125463,5,7,6,-0.0116026556491852,0.0192090165615082,-0.0139954960346222,0.0117058658599854,2155.24487304688,72.8335342407227,39.7941093444824,5.13220405578613,18.4409828186035,18.6417026519775,0,871408.22330346,8548540.93885346,1,1.27118497836464,0.295148891325386,0.955451271363116,3.06795786955401
"125493",641.261622205,125494,1,5,6,-0.0240016007423401,0.00480074107646942,0.00201679393649101,-0.000844128131866455,2432.19702148438,201.151138305664,43.8564491271973,4.18605518341064,115.703880310059,26.8325214385986,0,873342.57997832,8548541.32419903,1,3.51074965756832,-0.932631854664776,-0.360829355325396,2.80703524933041
"125508",262.137699968,125509,5,7,6,-0.0137930405139923,-0.00526650905609131,-0.00255141198635101,-0.00182388678193092,2646.11474609375,154.988021850586,23.6811065673828,7.63333129882812,33.8201332092285,2.90507674217224,0,870159.98725028,8548555.51908519,1,2.70505128244564,-0.906219415441979,0.422807723529263,2.4185294845508
"125538",1154.61198214,125539,5,7,6,-0.00775608897209167,0.00619241237640381,-0.00367136269807816,0.00591338992118835,2663.09985351562,141.036209106445,26.792516708374,6.07080841064453,66.9717330932617,4.1515007019043,0,870068.95039997,8548538.22678871,1,2.46154621343867,-0.77754351666939,0.628829133934965,3.06243606013497
"125591",284.188730732,125592,2,6,7,-0.0439553880691528,0.00354792028665543,-0.00447661221027374,-0.0037933024764061,2864.43530273438,15.2632732391357,41.192626953125,5.12074947357178,328.840942382812,9.54983329772949,0,869232.2322536,8548560.29466643,1,0.266394372654458,0.964726363675708,0.263254711693915,2.45360685234605
"125639",215.184989757,125640,6,7,6,-0.0203664970397949,-0.000934553295373917,-0.0135678970813751,0.00447002053260803,2813.59130859375,49.2727432250977,40.4217948913574,5.60147190093994,177.170211791992,4.14703607559204,0,868942.08675553,8548574.62276691,1,0.859971600767684,0.652458990047951,0.757824033866443,2.33281197381097
"125640",11338.2876147,125641,1,5,6,0.000189151652157307,-0.00779519498348236,0.00393810540437698,-0.00435009986162186,2579.2998046875,255.884887695312,44.9653015136719,4.17427825927734,207.034317016602,23.6044864654541,0,873611.62374549,8548511.64209425,1,4.46603379637912,-0.243870816241981,-0.969807725781492,4.05454746940331
"125656",250.257768819,125657,2,6,6,-0.0155007088184357,0.00837304651737213,-0.00301524102687836,0.00273598909378052,2828.78125,327.244476318359,36.7097625732422,5.63500547409058,203.52766418457,3.53457188606262,0,868996.39198957,8548573.43394835,1,5.71149357071998,0.840986855637781,-0.541055550423871,2.39838756828064
"125704",150.114890838,125705,5,5,6,0.00912047624588013,-0.00476120561361313,0.0152241432666779,-0.00352097034454346,2440.94165039062,168.316955566406,22.004487991333,3.87447762489319,371.674743652344,45.1451187133789,35.0669174194336,871052.846659,8548588.39973374,0,2.93768506156678,-0.979282778680914,0.202497504624102,2.176423774775
"125708",1326.38600127,125709,1,6,7,-0.0334282994270325,-0.00241357356309891,-0.00876517176628113,-0.0028154993057251,2677.2470703125,173.589172363281,43.2125053405762,4.70044136047363,158.066452026367,13.3012838363647,0,873785.0680599,8548562.29947077,1,3.0297026035512,-0.993746836249734,0.111656730400121,3.12266992966935
"125719",1121.40610594,125720,5,6,6,0.00214715495705605,-0.000315486267209053,-0.00048368401825428,0.00393652647733688,2418.07861328125,253.332885742188,41.3413619995117,3.85804319381714,196.098510742188,16.8703269958496,0,870894.87111151,8548584.62145597,1,4.42149295977978,-0.286810716458152,-0.957987271796845,3.04976291645735
"125746",465.309664348,125747,6,7,6,-0.0341998386383057,0.0150799512863159,-0.0058044844865799,0.00605854272842407,2859.994140625,27.8072261810303,51.7238655090332,5.15106534957886,139.603912353516,3.80664825439453,0,868609.04715597,8548578.84608823,1,0.485327652705748,0.884522147193134,0.466498200559068,2.66774207279852
